::1	[2021-09-07T06:35:50.378Z] "GET /api/v1/admin/team_employees?page=1&limit=10	TeamEmployeeController/findAll"	500 	3ms reqBody: {} 	queryBody: {"page":"1","limit":"10"} 	{"raw_message": "Cannot read property 'joinColumns' of undefined", "response": {}}
::1	[2021-09-08T07:13:27.143Z] "POST /api/v1/admin/clients	ClientController/create"	500 	386ms reqBody: {"name":"Mr. Name","phone":"01971033730","email":"email@gmail.com","password":"123456","user_type":"SUPER ADMIN","full_name":"Mr. Name","address":"Bangladesh"} 	queryBody: {} 	{"raw_message": "ER_NO_DEFAULT_FOR_FIELD: Field 'email' doesn't have a default value", "response": {"query":"INSERT INTO `users`(`id`, `status`, `created_at`, `updated_at`, `deleted_at`, `created_by`, `updated_by`, `deleted_by`, `name`, `phone`, `email`, `password`, `user_type`) VALUES (?, DEFAULT, DEFAULT, DEFAULT, DEFAULT, ?, DEFAULT, DEFAULT, ?, ?, DEFAULT, ?, ?)","parameters":["507021cd-6516-4714-afa4-fa3ce64fcaf1","ee4e9927-e59a-4ce1-9379-1380db160a37","Mr. Name","01971033730","$2b$12$oujelviH02HRFTvY0n6A3OWMnG7KnPpUr4LeWe6aEUU4OllBtqqqi","SUPER ADMIN"],"driverError":{"code":"ER_NO_DEFAULT_FOR_FIELD","errno":1364,"sqlMessage":"Field 'email' doesn't have a default value","sqlState":"HY000","index":0,"sql":"INSERT INTO `users`(`id`, `status`, `created_at`, `updated_at`, `deleted_at`, `created_by`, `updated_by`, `deleted_by`, `name`, `phone`, `email`, `password`, `user_type`) VALUES ('507021cd-6516-4714-afa4-fa3ce64fcaf1', DEFAULT, DEFAULT, DEFAULT, DEFAULT, 'ee4e9927-e59a-4ce1-9379-1380db160a37', DEFAULT, DEFAULT, 'Mr. Name', '01971033730', DEFAULT, '$2b$12$oujelviH02HRFTvY0n6A3OWMnG7KnPpUr4LeWe6aEUU4OllBtqqqi', 'SUPER ADMIN')"},"code":"ER_NO_DEFAULT_FOR_FIELD","errno":1364,"sqlMessage":"Field 'email' doesn't have a default value","sqlState":"HY000","index":0,"sql":"INSERT INTO `users`(`id`, `status`, `created_at`, `updated_at`, `deleted_at`, `created_by`, `updated_by`, `deleted_by`, `name`, `phone`, `email`, `password`, `user_type`) VALUES ('507021cd-6516-4714-afa4-fa3ce64fcaf1', DEFAULT, DEFAULT, DEFAULT, DEFAULT, 'ee4e9927-e59a-4ce1-9379-1380db160a37', DEFAULT, DEFAULT, 'Mr. Name', '01971033730', DEFAULT, '$2b$12$oujelviH02HRFTvY0n6A3OWMnG7KnPpUr4LeWe6aEUU4OllBtqqqi', 'SUPER ADMIN')"}}
::1	[2021-09-08T07:26:02.012Z] "GET /api/v1/admin/clients?page=1&limit=10	ClientController/findAll"	500 	21ms reqBody: {} 	queryBody: {"page":"1","limit":"10"} 	{"raw_message": "Cannot read property 'joinColumns' of undefined", "response": {}}
::1	[2021-09-08T09:26:47.958Z] "GET /api/v1/admin/clients?page=1&limit=10	ClientController/findAll"	500 	23ms reqBody: {} 	queryBody: {"page":"1","limit":"10"} 	{"raw_message": "Cannot read property 'joinColumns' of undefined", "response": {}}
::1	[2021-09-08T09:27:03.101Z] "GET /api/v1/admin/clients?page=1&limit=10	ClientController/findAll"	500 	21ms reqBody: {} 	queryBody: {"page":"1","limit":"10"} 	{"raw_message": "Cannot read property 'joinColumns' of undefined", "response": {}}
::1	[2021-09-08T11:25:53.920Z] "POST /api/v1/admin/employees	EmployeeController/create"	500 	20ms reqBody: {"name":"Mr. Employee One","phone":"01912345678","email":"employeeOne@gmail.com","password":"123456","user_type":"SUPER ADMIN","full_name":"Mr. Employee One","expertise":"System Admin","designation_id":"6e05b867-03d5-4efc-9d87-8eb0dca2090a"} 	queryBody: {} 	{"raw_message": "No entity column "phone" was found.", "response": {}}
::1	[2021-09-08T11:26:57.382Z] "POST /api/v1/admin/employees	EmployeeController/create"	500 	5ms reqBody: {"name":"Mr. Employee One","phone":"01912345678","email":"employeeOne@gmail.com","password":"123456","user_type":"SUPER ADMIN","full_name":"Mr. Employee One","expertise":"System Admin","designation_id":"6e05b867-03d5-4efc-9d87-8eb0dca2090a"} 	queryBody: {} 	{"raw_message": "No entity column "phone" was found.", "response": {}}
::1	[2021-09-08T11:29:31.801Z] "POST /api/v1/admin/employees	EmployeeController/create"	500 	2ms reqBody: {"name":"Mr. Employee One","phone":"01912345678","email":"employeeOne@gmail.com","password":"123456","user_type":"SUPER ADMIN","full_name":"Mr. Employee One","expertise":"System Admin","designation_id":"f2e82a21-09fa-4cce-858b-27b208ec119c"} 	queryBody: {} 	{"raw_message": "No entity column "phone" was found.", "response": {}}
::1	[2021-09-08T11:35:54.900Z] "POST /api/v1/admin/employees	EmployeeController/create"	500 	49ms reqBody: {"name":"Mr. Employee One","phone":"01912345678","email":"employeeOne@gmail.com","password":"123456","user_type":"SUPER ADMIN","full_name":"Mr. Employee One","expertise":"System Admin","designation_id":"f2e82a21-09fa-4cce-858b-27b208ec119c"} 	queryBody: {} 	{"raw_message": "No entity column "phone" was found.", "response": {}}
::1	[2021-09-08T11:37:54.975Z] "POST /api/v1/admin/employees	EmployeeController/create"	500 	30ms reqBody: {"name":"Mr. Employee One","phone":"01912345678","email":"employeeOne@gmail.com","password":"123456","user_type":"SUPER ADMIN","full_name":"Mr. Employee One","expertise":"System Admin","designation_id":"f2e82a21-09fa-4cce-858b-27b208ec119c"} 	queryBody: {} 	{"raw_message": "No entity column "phone" was found.", "response": {}}
::1	[2021-09-08T11:52:36.599Z] "PUT /api/v1/admin/employees/9afb80b0-40c8-45e9-8520-9f2997c9b812	EmployeeController/update"	500 	48ms reqBody: {"full_name":"Mr. Employee One Update","expertise":"Sales","designation_id":"6e05b867-03d5-4efc-9d87-8eb0dca2090a"} 	queryBody: {} 	{"raw_message": "ER_NO_REFERENCED_ROW_2: Cannot add or update a child row: a foreign key constraint fails (`db_nest_master`.`employees`, CONSTRAINT `FK_2de5d6e4fb3345f18bc467017f0` FOREIGN KEY (`designation_id`) REFERENCES `designations` (`id`))", "response": {"query":"UPDATE `employees` SET `full_name` = ?, `expertise` = ?, `designation_id` = ?, `updated_by` = ?, `updated_at` = CURRENT_TIMESTAMP WHERE `id` = ?","parameters":["Mr. Employee One Update","Sales","6e05b867-03d5-4efc-9d87-8eb0dca2090a","ee4e9927-e59a-4ce1-9379-1380db160a37","9afb80b0-40c8-45e9-8520-9f2997c9b812"],"driverError":{"code":"ER_NO_REFERENCED_ROW_2","errno":1452,"sqlMessage":"Cannot add or update a child row: a foreign key constraint fails (`db_nest_master`.`employees`, CONSTRAINT `FK_2de5d6e4fb3345f18bc467017f0` FOREIGN KEY (`designation_id`) REFERENCES `designations` (`id`))","sqlState":"23000","index":0,"sql":"UPDATE `employees` SET `full_name` = 'Mr. Employee One Update', `expertise` = 'Sales', `designation_id` = '6e05b867-03d5-4efc-9d87-8eb0dca2090a', `updated_by` = 'ee4e9927-e59a-4ce1-9379-1380db160a37', `updated_at` = CURRENT_TIMESTAMP WHERE `id` = '9afb80b0-40c8-45e9-8520-9f2997c9b812'"},"code":"ER_NO_REFERENCED_ROW_2","errno":1452,"sqlMessage":"Cannot add or update a child row: a foreign key constraint fails (`db_nest_master`.`employees`, CONSTRAINT `FK_2de5d6e4fb3345f18bc467017f0` FOREIGN KEY (`designation_id`) REFERENCES `designations` (`id`))","sqlState":"23000","index":0,"sql":"UPDATE `employees` SET `full_name` = 'Mr. Employee One Update', `expertise` = 'Sales', `designation_id` = '6e05b867-03d5-4efc-9d87-8eb0dca2090a', `updated_by` = 'ee4e9927-e59a-4ce1-9379-1380db160a37', `updated_at` = CURRENT_TIMESTAMP WHERE `id` = '9afb80b0-40c8-45e9-8520-9f2997c9b812'"}}
